2018 Rank,City,State,2018 estimate,2010 Census,Change,2016 land area (sq mile),2016 land area(sq km),2016 population density (per sq mile),2016 population density (per sq km),location
1,New York City,New York,8398748,8175133,+2.74%,301.5,780.9,"28,317","10,933",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City)
2,Los Angeles,California,3990456,3792621,+5.22%,468.7,"1,213.9","8,484","3,276",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles)
3,Chicago,Illinois,2705994,2695598,+0.39%,227.3,588.7,"11,900","4,600",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago)
4,Houston,Texas,2325502,2100263,+10.72%,637.5,"1,651.1","3,613","1,395",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston)
5,Phoenix,Arizona,1660272,1445632,+14.85%,517.6,"1,340.6","3,120","1,200",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix)
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2,347.6,"11,683","4,511",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia)
7,San Antonio,Texas,1532233,1327407,+15.43%,461.0,"1,194.0","3,238","1,250",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio)
8,San Diego,California,1425976,1307402,+9.07%,325.2,842.3,"4,325","1,670",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego)
9,Dallas,Texas,1345047,1197816,+12.29%,340.9,882.9,"3,866","1,493",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas)
10,San Jose,California,1030119,945942,+8.90%,177.5,459.7,"5,777","2,231",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose)
11,Austin,Texas,964254,790390,+22.00%,312.7,809.9,"3,031","1,170",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin)
12,Jacksonville,Florida,903889,821784,+9.99%,747.4,"1,935.8","1,178",455,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville)
13,Fort Worth,Texas,895008,741206,+20.75%,342.9,888.1,"2,491",962,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth)
14,Columbus,Ohio,892533,787033,+13.40%,218.5,565.9,"3,936","1,520",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus)
15,San Francisco,California,883305,805235,+9.70%,46.9,121.5,"18,569","7,170",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco)
16,Charlotte,North Carolina,872498,731424,+19.29%,305.4,791.0,"2,757","1,064",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte)
17,Indianapolis,Indiana,867125,820445,+5.69%,361.5,936.3,"2,366",914,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis)
18,Seattle,Washington,744955,608660,+22.39%,83.8,217.0,"8,405","3,245",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle)
19,Denver,Colorado,716492,600158,+19.38%,153.3,397.0,"4,521","1,746",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver)
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74%,61.1,158.2,"11,148","4,304","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)"
21,Boston,Massachusetts,694583,617594,+12.47%,48.3,125.1,"13,938","5,381",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston)
22,El Paso,Texas,682669,649121,+5.17%,256.8,665.1,"2,660","1,030",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso)
23,Detroit,Michigan,672662,713777,−5.76%,138.8,359.5,"4,847","1,871",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit)
24,Nashville,Tennessee,669053,601222,+11.28%,475.9,"1,232.6","1,388",536,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville)
25,Portland,Oregon,653115,583776,+11.88%,133.5,345.8,"4,793","1,851",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland)
26,Memphis,Tennessee,650618,646889,+0.58%,317.4,822.1,"2,056",794,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis)
27,Oklahoma City,Oklahoma,649021,579999,+11.90%,606.3,"1,570.3","1,053",407,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City)
28,Las Vegas,Nevada,644644,583756,+10.43%,134.4,348.1,"4,709","1,818",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas)
29,Louisville,Kentucky,620118,597337,+3.81%,263.5,682.5,"2,339",903,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville)
30,Baltimore,Maryland,602495,620961,−2.97%,80.9,209.5,"7,598","2,934",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore)
31,Milwaukee,Wisconsin,592025,594833,−0.47%,96.2,249.2,"6,186","2,388",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee)
32,Albuquerque,New Mexico,560218,545852,+2.63%,188.2,487.4,"2,972","1,147",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque)
33,Tucson,Arizona,545975,520116,+4.97%,230.8,597.8,"2,299",888,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson)
34,Fresno,California,530093,494665,+7.16%,114.4,296.3,"4,563","1,762",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno)
35,Mesa,Arizona,508958,439041,+15.92%,137.9,357.2,"3,514","1,357",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa)
36,Sacramento,California,508529,466488,+9.01%,97.9,253.6,"5,059","1,953",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento)
37,Atlanta,Georgia,498044,420003,+18.58%,133.5,345.8,"3,539","1,366",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta)
